dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI,SBFI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480788533,Agilent Technologies (Schweiz) AG Test- und Messgeräte,19.4,"Zivile Bauten, Betrieb Immobilien",,,17578.06,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480788533,Agilent Technologies (Schweiz) AG Test- und Messgeräte,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,4226.2,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482073371,ACE Project Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,,375510.6,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482073371,ACE Project Services AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,,,117698.4,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482073371,ACE Project Services AG,15.2,Software inkl. Lizenzen,,,,,,,,17388,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482204232,Technopark Luzern,15.4,SW-Pflege und HW Wartung,,,,,,,,,405645.84,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,482204232,Technopark Luzern,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,54043.2,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,487448672,Agogis,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,390780,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,487448672,Agogis,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,58304,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,537631389,KPS Solutions GmbH,15.4,SW-Pflege und HW Wartung,,,,,,,,,226045.2,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,537631389,KPS Solutions GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,222500,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480976575,LARGEUR. COM SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,444878,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,301090783,Wintersteiger AG,4.2,Maschinen und Apparate,,,318966.93,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,301090783,Wintersteiger AG,7.1,Fahrzeuge,,,110788.73,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,301090783,Wintersteiger AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,1853.49,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,301090783,Wintersteiger AG,19.4,"Zivile Bauten, Betrieb Immobilien",,,273.41,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480849491,Stiftung Praktischer Umweltschutz Schweiz Pusch,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,407070,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,480849491,Stiftung Praktischer Umweltschutz Schweiz Pusch,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,22950,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,484731026,Kiwi Consultants GmbH,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,,,,315907.55,,107839.6,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,487610412,Schweiz. AGRO-Treuhänder Verband c/o Agro-Treuhand,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,338625.5,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,487610412,Schweiz. AGRO-Treuhänder Verband c/o Agro-Treuhand,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,83687,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485714864,Schweizerisches Rotes Kreuz Kanton Bern,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,330289,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485714864,Schweizerisches Rotes Kreuz Kanton Bern,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,74693,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,481818771,BAK Basel Economics,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,95190.8,,,,2268,,,276923.1,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,481818771,BAK Basel Economics,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,20388.8,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,481818771,BAK Basel Economics,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,,,518.4,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485177331,Softtec AG,15.2,Software inkl. Lizenzen,,373053.6,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2013,485177331,Softtec AG,15.4,SW-Pflege und HW Wartung,,21178.2,,,,,,,,,,,
