dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-WBF,BLW,Agroscope,BLV,IVI,BBT,BWL,BWO,WEKO,ZIVI,SECO,ISCeco,SAS,KTI
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007855,Unisys (Schweiz) AG,15.1,Hardware,,,1908.35,,,,,,,349250.15,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007855,Unisys (Schweiz) AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,8577.35,,21513.6,,,,,,134594.6,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007855,Unisys (Schweiz) AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,,130572.65,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480007855,Unisys (Schweiz) AG,15.2,Software inkl. Lizenzen,,,,,,,,,,10450.05,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480572189,HAMA Technics AG,4.2,Maschinen und Apparate,,,635689.1,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480572189,HAMA Technics AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,4995,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480572189,HAMA Technics AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,1782,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480572189,HAMA Technics AG,5,Medizinische Produkte und Pharmabereich,,,1230.1,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480572189,HAMA Technics AG,19.4,"Zivile Bauten, Betrieb Immobilien",,,1021.7,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480572189,HAMA Technics AG,3.2,Chemie,,,417.95,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480752112,Solexperts AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,,,,609597.25,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480752112,Solexperts AG,15.1,Hardware,,,17826.5,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480752112,Solexperts AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,575.65,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,481818771,BAK Basel Economics,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,,3240,,,473428.3,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,481818771,BAK Basel Economics,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,60480,,,,,,194.4,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,481818771,BAK Basel Economics,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,410.4,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,480216030,econcept AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,142511.15,,394484.1,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,481143691,Link Marketing Services AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,10102.5,31115.1,,,325117.8,,,,,80136,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,481143691,Link Marketing Services AG,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,79164,2160,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,483156464,Hochdorf Swiss Milk AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,509124,150,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,483156464,Hochdorf Swiss Milk AG,5,Medizinische Produkte und Pharmabereich,,,13962.05,,,,,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,483248357,Atos AG,15.4,SW-Pflege und HW Wartung,,,,,,,,,,,511350.31,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,481660400,Swisscom Broadcast AG,15.3,Telekommunikation,,,,,,,499565.5,,,,,,,
WBF,"Eidgenössisches Departement für Wirtschaft, Bildung und Forschung",2012,487448672,Agogis,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,,,,499131.5,,,,
