dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,GS-EDI,EBG,BAR,BAK,MeteoSchweiz,BAG,BFS,BSV,SBF,NB
EDI,Eidgenössisches Departement des Innern,2012,480945877,AWK Group AG,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,112752,,,
EDI,Eidgenössisches Departement des Innern,2012,482522427,Die Schweizerische Post Service Center Finanzen Mitte,14.1,Postdienste,28562.65,9931.15,15219.15,218620.25,,287349,,95654,61209.15,
EDI,Eidgenössisches Departement des Innern,2012,480232263,Elca Informatique SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,26568,,53568,265521.8,,,
EDI,Eidgenössisches Departement des Innern,2012,480232263,Elca Informatique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,7244.65,,,,181331.35,,,64257.5
EDI,Eidgenössisches Departement des Innern,2012,480232263,Elca Informatique SA,15.4,SW-Pflege und HW Wartung,,,,,,,17479.9,,,72895.65
EDI,Eidgenössisches Departement des Innern,2012,480232263,Elca Informatique SA,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,6212.7,,,,,,,
EDI,Eidgenössisches Departement des Innern,2012,480035893,Diso Solution AG Beratung und Informatiklösungen,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,,,,,,389238,,,
EDI,Eidgenössisches Departement des Innern,2012,480035893,Diso Solution AG Beratung und Informatiklösungen,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,,,,206205,,,
EDI,Eidgenössisches Departement des Innern,2012,480035893,Diso Solution AG Beratung und Informatiklösungen,15.4,SW-Pflege und HW Wartung,,,,,,,52933.45,,,
EDI,Eidgenössisches Departement des Innern,2012,480035893,Diso Solution AG Beratung und Informatiklösungen,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,,41034.45,,,
EDI,Eidgenössisches Departement des Innern,2012,480791909,Burson-Marsteller,18.4,Informationsarbeit,,,,,,676150,,,,
EDI,Eidgenössisches Departement des Innern,2012,480832203,Publisuisse SA,18.4,Informationsarbeit,,,,,,355954.5,,,,
