dept,fullDept,year,idSupplier,supplier,idCategory,fullCategory,BAFU,ARE,GS-UVEK,BAV,BAZL,BFE,ASTRA,BAKOM,SUST,RegInfra
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480232263,Elca Informatique SA,15.4,SW-Pflege und HW Wartung,,,,79536.6,,,484579.7,372950,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480232263,Elca Informatique SA,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,50220,,,,,,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,480232263,Elca Informatique SA,18.2,Informatik-DL exkl. Personalverleih im Bereich IKT,,,,186840,,,485731.45,362805,,166212
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,482235702,Amberg Ingenieurbüro AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,4717956.21,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,482235702,Amberg Ingenieurbüro AG,22,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,,38980,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,485127679,ARGE Los C7 c/o Walo Bertschinger AG,21.2,"Bauten Nationalstrassen, Bauleistungen inkl.Honorare",,,,,,,4753414.85,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,487696056,NOVA ENERGIE GMBH,18.1,Allg. Beratungs-DL im Fachbereich eines Amtes und Honorare,,50000,,,,4331746,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,487696056,NOVA ENERGIE GMBH,18.3,Beratungs-DL für Management und Organisation sowie Coaching,,,,,,327550,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,487696056,NOVA ENERGIE GMBH,18.4,Informationsarbeit,,,,,,3050,,,,
UVEK,"Eidgenössisches Departement für Umwelt, Verkehr, Energie und Kommunikation",2012,487696056,NOVA ENERGIE GMBH,22.0,"Keiner Kategorie zuordenbar, inkl Wartung und Reparatur",,,,,,30000.00,,,,
